generic_name_cn,generic_name_en,spec,unit,default_usage,is_antibiotic,antibiotic_level,is_toxic_drug,contraindication_tags,cost_price_ref,retail_price_ref,reorder_level,drug_class,otc_type
碳酸氢钠滴耳液,Sodium Bicarbonate Ear Drops,8ml,支,滴耳 tid,0,None,0,,2.48,4.00,,五官-耵聍软化,OTC甲
复方薄荷脑滴鼻液,Compound Menthol Nasal Drops,10ml,支,滴鼻 tid,0,None,0,,3.10,5.00,,五官-鼻腔润滑,OTC甲
西地碘含片,Cydiodine Buccal Tablets,1.5mg×24片,盒,含服 1片 tid,0,None,0,,7.44,12.00,,五官-口腔抗菌,OTC甲
西瓜霜润喉片,Xiguashuang Throat Tablets,0.6g×48片,盒,含服 2片 tid,0,None,0,,6.20,10.00,,中成药-五官,OTC甲
金嗓子喉片,Jinsangzi Throat Tablets,2g×20片,盒,含服 1片 tid,0,None,0,,5.58,9.00,,中成药-五官,OTC甲
氯霉素滴眼液,Chloramphenicol Eye Drops,8ml:20mg,支,滴眼 qid,0,None,0,,3.72,6.00,,五官-抗菌眼,Rx
甲硝唑阴道泡腾片,Metronidazole Vaginal Effervescent Tablets,0.2g×14片,盒,阴道给药 qn,0,None,0,,7.44,12.00,,妇科-阴道炎,Rx
克霉唑阴道片,Clotrimazole Vaginal Tablets,0.5g×1片,盒,阴道给药 qn,0,None,0,,9.30,15.00,,妇科-阴道炎,OTC甲
硝呋太尔制霉素阴道软胶囊,Nifuratel and Nystatin Vaginal Soft Capsules,6粒,盒,阴道给药 qn,0,None,0,,15.50,25.00,,妇科-阴道炎,Rx
红核妇洁洗液,Honghe Fujie Lotion,150ml,瓶,外用冲洗 qd,0,None,0,,13.64,22.00,,中成药-妇科,OTC甲
洁尔阴洗液,Jieeryin Lotion,350ml,瓶,外用冲洗 qd,0,None,0,,12.40,20.00,,中成药-妇科,OTC甲
乌鸡白凤丸,Wuji Baifeng Pills,9g×10丸,盒,口服 1丸 bid,0,None,0,,15.50,25.00,,中成药-妇科,OTC甲
益母草颗粒,Yimucao Granules,15g×10袋,盒,口服 15g bid,0,None,0,,7.44,12.00,,中成药-妇科,OTC甲
妇科千金片,Fuke Qianjin Tablets,0.32g×144片,盒,口服 6片 tid,0,None,0,,17.36,28.00,,中成药-妇科,OTC甲
逍遥丸,Xiaoyao Pills,6g×10袋,盒,口服 6g bid,0,None,0,,8.68,14.00,,中成药-妇科,OTC甲
小儿氨酚黄那敏颗粒,Pediatric Paracetamol and Artificial Cow-bezoar Granules,6g×10袋,盒,口服 1袋 tid,0,None,0,,4.96,8.00,,儿科-感冒,OTC甲
小儿豉翘清热颗粒,Xiaoer Chiqiao Qingre Granules,2g×9袋,盒,口服 1袋 tid,0,None,0,,13.64,22.00,,中成药-儿科,OTC甲
小儿肺热咳喘口服液,Xiaoer Feire Kechuan Oral Liquid,10ml×10支,盒,口服 10ml tid,0,None,0,,15.50,25.00,,中成药-儿科,OTC甲
小儿化痰止咳颗粒,Xiaoer Huatan Zhike Granules,5g×10袋,盒,口服 5g tid,0,None,0,,6.20,10.00,,中成药-儿科,OTC甲
小儿健脾散,Xiaoer Jianpi Powder,1.5g×10袋,盒,口服 1.5g bid,0,None,0,,7.44,12.00,,中成药-儿科,OTC甲
妈咪爱散,Medilac-Vita Powder,1g×15袋,盒,口服 1g bid,0,None,0,,11.16,18.00,,儿科-微生态,OTC甲
蒙脱石散(儿童),Montmorillonite Powder (Pediatric),3g×10袋,盒,口服 1袋 tid,0,None,0,,7.44,12.00,,儿科-止泻,OTC甲
小儿退热贴,Pediatric Cooling Patch,4贴,盒,外用 qd,0,None,0,,6.20,10.00,,儿科-物理降温,OTC乙
连花清瘟胶囊,Lianhua Qingwen Capsules,0.35g×24粒,盒,口服 4粒 tid,0,None,0,,8.68,14.00,20,中成药-感冒,OTC甲
板蓝根颗粒,Banlangen Granules,10g×20袋,盒,口服 10g tid,0,None,0,,7.44,12.00,,中成药-感冒,OTC甲
感冒灵颗粒,Ganmaoling Granules,10g×9袋,盒,口服 10g tid,0,None,0,,6.82,11.00,,中成药-感冒,OTC甲
维C银翘片,Vitamin C Yinqiao Tablets,24片,盒,口服 2片 tid,0,None,0,,3.72,6.00,,中成药-感冒,OTC甲
双黄连口服液,Shuanghuanglian Oral Liquid,10ml×10支,盒,口服 20ml tid,0,None,0,,9.30,15.00,,中成药-感冒,OTC甲
蒲地蓝消炎口服液,Pudilan Xiaoyan Oral Liquid,10ml×12支,盒,口服 10ml tid,0,None,0,,15.50,25.00,,中成药-消炎,Rx
蓝芩口服液,Lanqin Oral Liquid,10ml×12支,盒,口服 10ml tid,0,None,0,,13.64,22.00,,中成药-咽炎,OTC甲
金莲花颗粒,Jinlianhua Granules,8g×9袋,盒,口服 8g tid,0,None,0,,9.92,16.00,,中成药-咽炎,OTC甲
肺力咳合剂,Feilike Mixture,150ml,瓶,口服 20ml tid,0,None,0,,12.40,20.00,,中成药-咳嗽,OTC甲
急支糖浆,Jizhi Syrup,200ml,瓶,口服 20ml tid,0,None,0,,9.30,15.00,,中成药-咳嗽,OTC甲
川贝枇杷膏,Chuanbei Pipa Gao,345g,瓶,口服 15ml tid,0,None,0,,15.50,25.00,,中成药-咳嗽,OTC甲
京都念慈菴蜜炼川贝枇杷膏,Nin Jiom Pei Pa Koa,150ml,瓶,口服 15ml tid,0,None,0,,17.36,28.00,,中成药-咳嗽,OTC甲
牛黄解毒片,Niuhuang Jiedu Tablets,0.25g×60片,瓶,口服 3片 tid,0,None,0,,4.96,8.00,,中成药-清热解毒,OTC甲
黄连上清片,Huanglian Shangqing Tablets,0.3g×48片,盒,口服 4片 tid,0,None,0,,5.58,9.00,,中成药-清热解毒,OTC甲
三黄片,Sanhuang Tablets,0.25g×100片,瓶,口服 4片 tid,0,None,0,,4.34,7.00,,中成药-清热解毒,OTC甲
六味地黄丸,Liuwei Dihuang Pills,9g×10丸,盒,口服 1丸 bid,0,None,0,,8.68,14.00,,中成药-滋阴,OTC甲
知柏地黄丸,Zhibai Dihuang Pills,9g×10丸,盒,口服 1丸 bid,0,None,0,,9.30,15.00,,中成药-滋阴,OTC甲
杞菊地黄丸,Qiju Dihuang Pills,9g×10丸,盒,口服 1丸 bid,0,None,0,,8.68,14.00,,中成药-滋阴,OTC甲
归脾丸,Guipi Pills,9g×10丸,盒,口服 1丸 tid,0,None,0,,8.06,13.00,,中成药-补益,OTC甲
补中益气丸,Buzhong Yiqi Pills,6g×10袋,盒,口服 6g bid,0,None,0,,9.30,15.00,,中成药-补益,OTC甲
金匮肾气丸,Jinkui Shenqi Pills,6g×10袋,盒,口服 6g bid,0,None,0,,9.92,16.00,,中成药-温阳,OTC甲
血府逐瘀胶囊,Xuefu Zhuyu Capsules,0.4g×36粒,盒,口服 6粒 bid,0,None,0,,13.64,22.00,,中成药-活血,OTC甲
舒筋活血片,Shujin Huoxue Tablets,0.3g×100片,瓶,口服 5片 tid,0,None,0,,6.20,10.00,,中成药-骨伤,OTC甲
云南白药胶囊,Yunnan Baiyao Capsules,0.25g×16粒,盒,口服 2粒 tid,0,None,0,,11.16,18.00,,中成药-骨伤,OTC甲
正骨水,Zhenggushui,45ml,瓶,外用 qid,0,None,0,,9.30,15.00,,中成药-骨伤,OTC甲
伤湿止痛膏,Shangshi Zhitong Plaster,8贴,盒,外用 qd,0,None,0,,6.20,10.00,,中成药-骨伤,OTC甲
安神补脑液,Anshen Bunao Liquid,10ml×10支,盒,口服 10ml bid,0,None,0,,12.40,20.00,,中成药-安神,OTC甲
枣仁安神胶囊,Zaoren Anshen Capsules,0.45g×25粒,盒,口服 5粒 qn,0,None,0,,14.88,24.00,,中成药-安神,OTC甲
保和丸,Baohe Pills,6g×10袋,盒,口服 6g bid,0,None,0,,7.44,12.00,,中成药-消食,OTC甲
牛黄上清丸,Niuhuang Shangqing Pills,6g×10丸,盒,口服 1丸 bid,0,None,0,,6.82,11.00,,中成药-清热,OTC甲
清开灵颗粒,Qingkailing Granules,3g×12袋,盒,口服 3g tid,0,None,0,,9.30,15.00,,中成药-清热,OTC甲
康复新液,Kangfuxin Liquid,100ml,瓶,口服 10ml tid,0,None,0,,17.36,28.00,,中成药-黏膜修复,OTC甲
六神丸,Liushen Pills,3.125g×10支,盒,含服 10粒 tid,0,None,0,,11.16,18.00,,中成药-咽喉,OTC甲
藿香正气水,Huoxiangzhengqi Tincture,10ml×10支,盒,口服 10ml bid,0,None,0,,6.20,10.00,,中成药-暑湿,OTC甲
正柴胡饮颗粒,Zhengchaihuyin Granules,10g×10袋,盒,口服 10g tid,0,None,0,,8.68,14.00,,中成药-感冒,OTC甲
维生素C片,Vitamin C Tablets,0.1g×100片,瓶,口服 0.1g tid,0,None,0,,1.86,3.00,15,维生素,OTC乙
维生素B2片,Vitamin B2 Tablets,5mg×100片,瓶,口服 5mg tid,0,None,0,,2.17,3.50,,维生素,OTC乙
维生素B6片,Vitamin B6 Tablets,10mg×100片,瓶,口服 10mg tid,0,None,0,,1.86,3.00,,维生素,OTC乙
维生素E软胶囊,Vitamin E Soft Capsules,0.1g×60粒,瓶,口服 0.1g bid,0,None,0,,7.44,12.00,,维生素,OTC乙
复合维生素B片,Compound Vitamin B Tablets,100片,瓶,口服 2片 tid,0,None,0,,3.10,5.00,,维生素,OTC乙
21金维他,21 Super-Vita,60片,瓶,口服 1片 qd,0,None,0,,17.36,28.00,,维生素-多维,OTC甲
葡萄糖酸锌口服液,Zinc Gluconate Oral Solution,10ml×20支,盒,口服 10ml bid,0,None,0,,11.16,18.00,,矿物质,OTC甲
葡萄糖酸钙口服液,Calcium Gluconate Oral Solution,10ml×20支,盒,口服 10ml bid,0,None,0,,12.40,20.00,,矿物质,OTC甲
琥珀酸亚铁片,Ferrous Succinate Tablets,0.1g×24片,盒,口服 1片 tid,0,None,0,,9.30,15.00,,矿物质-补铁,Rx
叶酸片,Folic Acid Tablets,5mg×100片,瓶,口服 5mg tid,0,None,0,,3.72,6.00,,维生素,OTC甲
多维元素片(21),Multivitamin Tablets(21),60片,瓶,口服 1片 qd,0,None,0,,15.50,25.00,,维生素-多维,OTC甲
口服补液盐Ⅲ,Oral Rehydration Salts Ⅲ,5.125g×6袋,盒,冲服 250ml prn,0,None,0,,6.20,10.00,,电解质,OTC甲
碘伏消毒液,Povidone Iodine Solution,100ml:0.5g,瓶,外用 prn,0,None,0,,3.10,5.00,,消毒防腐,OTC乙
75%乙醇消毒液,75% Alcohol Disinfectant,500ml,瓶,外用 prn,0,None,0,,4.96,8.00,,消毒防腐,OTC乙
过氧化氢溶液,Hydrogen Peroxide Solution,100ml:3g,瓶,外用 prn,0,None,0,,1.86,3.00,,消毒防腐,OTC甲
医用纱布块,Medical Gauze,8cm×10cm×5片,包,外用 prn,0,None,0,,1.86,3.00,,医用耗材,其他
医用胶带,Medical Tape,1.25cm×9.1m,卷,外用 prn,0,None,0,,2.48,4.00,,医用耗材,其他
一次性使用无菌注射器,Disposable Sterile Syringe,5ml×10支,包,肌注 prn,0,None,0,,3.72,6.00,,医用耗材,其他
人血白蛋白,Human Albumin,10g:50ml,瓶,静滴 prn,0,None,0,,260.40,420.00,,血液制品,Rx
破伤风抗毒素,Tetanus Antitoxin,1500IU:1ml,支,肌注 1500IU,0,None,0,,15.50,25.00,,生物制品,Rx
狂犬病疫苗,Rabies Vaccine,0.5ml×4支,盒,肌注 0.5ml d0/3/7/14,0,None,0,,217.00,350.00,,生物制品,Rx
注射用青霉素钠,Penicillin G Sodium for Injection,80万U,支,肌注 80万U bid,1,NonRestricted,0,青霉素类,1.55,2.50,,抗感染-注射,Rx
硫酸庆大霉素注射液,Gentamicin Sulfate Injection,8万U:2ml,支,肌注 8万U bid,1,NonRestricted,0,氨基糖苷类,1.12,1.80,,抗感染-注射,Rx
地塞米松磷酸钠注射液,Dexamethasone Sodium Phosphate Injection,5mg:1ml,支,肌注 5mg qd,0,None,0,,0.93,1.50,,激素-注射,Rx
维生素B12注射液,Vitamin B12 Injection,0.5mg:1ml,支,肌注 0.5mg qd,0,None,0,,0.74,1.20,,维生素-注射,Rx
盐酸肾上腺素注射液,Epinephrine Hydrochloride Injection,1mg:1ml,支,皮下/肌注 0.5mg prn,0,None,0,,3.10,5.00,,急救药品,Rx
硝酸甘油注射液,Nitroglycerin Injection,5mg:1ml,支,静滴 prn,0,None,0,,4.96,8.00,,急救药品,Rx
阿托品注射液,Atropine Injection,0.5mg:1ml,支,肌注 0.5mg prn,0,None,0,,1.24,2.00,,急救药品,Rx
氯解磷定注射液,Pralidoxime Chloride Injection,0.5g:2ml,支,静注 prn,0,None,0,,6.20,10.00,,急救药品-解毒,Rx
纳洛酮注射液,Naloxone Injection,0.4mg:1ml,支,静注 0.4mg prn,0,None,0,,9.30,15.00,,急救药品-解毒,Rx
